group	mean	cv
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
SpaceRanger	0.0007232216365936831	24.474479846954345
